channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo
UCJFZiqLMntJufDCHc6bQixg,hololive ホロライブ - VTuber Group,Hololive VTuber Group,Hololive,,1640000,375,https://yt3.ggpht.com/ytc/AKedOLShj3wK6CEmow693uwoMqS7yj09e3AvtdrIRsXHQw=s800-c-k-c0x00ffffff-no-rj
UCfrWoRGlawPQDQxxeIDRP0Q,hololive Indonesia,Hololive Indonesia,Hololive,,255000,59,https://yt3.ggpht.com/ytc/AKedOLSILukXkRWs4cQHfyrX1HxdxAFTroZG7NpW-m8N=s800-c-k-c0x00ffffff-no-rj
UCotXwY6s8pWmuWd_snKYjhg,hololive English,Hololive English,Hololive,,464000,18,https://yt3.ggpht.com/ytc/AKedOLQGbQmuzLspD-AWRcyeaOj5WdroBC507C31D0kTfw=s800-c-k-c0x00ffffff-no-rj
UCWsfcksUUpoEvhia0_ut0bA,holostars ホロスターズ - VTuber Group,Holostars Official,Hololive,,166000,92,https://yt3.ggpht.com/5Jn_OHkOZhZssXXwWopUQZVwnL16EJivvxTDGqVmp4Cah3nLmVTgZMQmfF-SyuMhtFkncyT9Lw=s800-c-k-c0x00ffffff-no-rj
UCp6993wxpyDPHUpavwDFqgg,SoraCh. ときのそらチャンネル,Tokino Sora,Hololive,,940000,566,https://yt3.ggpht.com/ytc/AKedOLQO9Vyz7ysAwPSio5xvkw6n0xvlyDu7A9eawqIH3w=s800-c-k-c0x00ffffff-no-rj-mo
UCutuOO0MBRhlvUclzFMaO0g,CyberLive,CyberLive,CyberLive,CyberLive,3340,6,https://yt3.ggpht.com/LrjqdW8QJvtY7F_rlvll6YQZFh2ou4tpt3I5yv88A-2CIyotjTA6_dQoaSkm63vhLcPUF4TJKA=s800-c-k-c0x00ffffff-no-rj
UC2hWFlqMew61Jy6A8zu5HzQ,Iku Hoshifuri / 星降いく [PRISM Project],Hoshifuri Iku,PRISM,Generation1,46600,323,https://yt3.ggpht.com/ytc/AKedOLQcNkTIuDKxsJDhlBcNIarpMqEfJvYhNB_AZA8g=s800-c-k-c0x00ffffff-no-rj
UCRWF6QSuklmwY3UJHyVTQ1w,Aoi Tokimori / 時守あおい [PRISM Project],Tokimori Aoi,PRISM,Generation1,18700,260,https://yt3.ggpht.com/ytc/AKedOLQJfaoU-lfq1ydmcXbbTNtXDav_VMP-wmLBcEEJ=s800-c-k-c0x00ffffff-no-rj
UCZfQRuwSLty74QAj55BaKlA,Meno Ibuki / 伊吹めの [PRISM Project],Ibuki Meno,PRISM,Generation1,16300,401,https://yt3.ggpht.com/ytc/AKedOLQIh0u6xUZOWWbNorUAdCX83lhDlUK1MnAj1IEh=s800-c-k-c0x00ffffff-no-rj
UCBJFsaCvgBa1a9BnEaxu97Q,Rita Kamishiro / 神代りた [PRISM Project],Kamishiro Rita,PRISM,Generation2,22400,258,https://yt3.ggpht.com/ytc/AKedOLSynnltzn-1TJLPmbLKEM-5USgPt9zxNQO-ks1k=s800-c-k-c0x00ffffff-no-rj
