channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,bannedChatters,deletedChats
UCQ0UDLQCjY0rmuxCDE38FGg,2021-01,629,629,206,206,0,0
UCYz_5n-uDuChHtLo7My1HnQ,2021-01,12281,12281,3795,3795,0,0
UC5CwaMl1eIgY8h02uZw7u8A,2021-01,91579,91579,9266,9266,0,0
UCvzGlP9oQwU--Y0r9id_jnA,2021-01,2015,2015,864,864,0,0
UCAWSyEs_Io8MtpY3m-zqILA,2021-01,50617,50617,6053,6053,0,0
UCUKD-uaobj9jiqB-VXt71mA,2021-01,106406,106406,21259,21259,0,0
UCHsx4Hqa-1ORjQTh9TYDhww,2021-01,173004,173004,20952,20952,0,0
UCyl1z3jo3XHR1riLFKG5UAg,2021-01,53879,53879,7002,7002,0,0
UCdn5BQ06XqgXoAxIhbqw5Rg,2021-01,39913,39913,7707,7707,0,0
UCS9uQI-jC3DE0L4IpXyvr6w,2021-01,140515,140515,17636,17636,0,0
UChAnqc_AY5_I3Px5dig3X1Q,2021-01,245867,245867,24440,24440,0,0
UCoSrY_IQQVpmIRZ9Xf-y93g,2021-01,303854,303854,60464,60464,0,0
UC1DCedRgGHBdm81E1llLhOQ,2021-01,348234,348234,20196,20196,0,0
UCqm3BQLlJfvkTsX_hvm0UmA,2021-01,53645,53645,4264,4264,0,0
UCK9V2B22uJYu3N7eR_BT9QA,2021-01,236,236,184,184,0,0
UCMwGHR0BTZuLsmjY_NT5Pwg,2021-01,22204,22204,4128,4128,0,0
UCP0BspO_AMEe3aQqqpo89Dg,2021-01,35241,35241,5009,5009,0,0
UCCzUftO8KOVkV4wQG1vkUvg,2021-01,58402,58402,11146,11146,0,0
UCl_gCybOJRIgOXw6Qb4qJzQ,2021-01,63625,63625,12056,12056,0,0
UC1CfXB_kRs3C-zaeTG3oGyg,2021-01,41941,41941,6936,6936,0,0
UC1opHUrw8rvnsadT-iGp7Cg,2021-01,39845,39845,5739,5739,0,0
UCZlDXzGoo7d44bwdNObFacg,2021-01,39728,39728,3875,3875,0,0
UChgTyjG-pdNvxxhdsXfHQ5Q,2021-01,13062,13062,2117,2117,0,0
UCvaTdHTWBGv3MKj3KVqJVCw,2021-01,15294,15294,1102,1102,0,0
UC-hM6YJuNYVAmUWxeIr9FeA,2021-01,46128,46128,5694,5694,0,0
UCUKD-uaobj9jiqB-VXt71mA,2021-02,411839,411839,30065,30065,19,3
UChAnqc_AY5_I3Px5dig3X1Q,2021-02,835187,835187,48276,48276,150,19
UCHsx4Hqa-1ORjQTh9TYDhww,2021-02,983279,983279,53740,53740,88,60
UCvaTdHTWBGv3MKj3KVqJVCw,2021-02,522969,522969,34593,34593,35,3
UC7fk0CB07ly8oSl0aqKkqFg,2021-02,249352,249352,20436,20436,24,10
UCCzUftO8KOVkV4wQG1vkUvg,2021-02,1224706,1224706,64806,64806,73,28
UCYz_5n-uDuChHtLo7My1HnQ,2021-02,418347,418347,40941,40941,102,151
UCQ0UDLQCjY0rmuxCDE38FGg,2021-02,283353,283353,16771,16771,63,94
UCAoy6rzhSf4ydcYjJw3WoVg,2021-02,171803,171803,14794,14794,30,21
UC9mf_ZVpouoILRY9NUIaK-w,2021-02,57578,57578,2868,2868,0,0
UC0TXe_LYZ4scaW2XMyi5_kw,2021-02,75437,75437,10567,10567,1,0
UCZlDXzGoo7d44bwdNObFacg,2021-02,884785,884785,57426,57426,38,26
UC-hM6YJuNYVAmUWxeIr9FeA,2021-02,1236438,1236438,49189,49189,84,40
UC1DCedRgGHBdm81E1llLhOQ,2021-02,1713522,1713522,66155,66155,85,29
UCAWSyEs_Io8MtpY3m-zqILA,2021-02,203541,203541,17281,17281,8,2
UCp-5t9SrOQwXMU7iIjQfARg,2021-02,399897,399897,23505,23505,21,5
UC6t3-_N8A6ME1JShZHHqOMw,2021-02,50273,50273,1991,1991,2,0
UC1suqwovbL1kzsoaZgFZLKg,2021-02,114539,114539,17028,17028,2,1
UCANDOlYTJT7N5jlRC3zfzVA,2021-02,189422,189422,7787,7787,0,0
UC1CfXB_kRs3C-zaeTG3oGyg,2021-02,574656,574656,69340,69340,31,5
UC1uv2Oq6kNxgATlCiez59hw,2021-02,207437,207437,18433,18433,1,4
UCdn5BQ06XqgXoAxIhbqw5Rg,2021-02,561448,561448,44079,44079,39,26
UChgTyjG-pdNvxxhdsXfHQ5Q,2021-02,218818,218818,18888,18888,51,68
UCP0BspO_AMEe3aQqqpo89Dg,2021-02,457718,457718,46944,46944,297,186
UCOyYb1c43VlX9rc_lT6NKQw,2021-02,48254,48254,6409,6409,8,5
UCqm3BQLlJfvkTsX_hvm0UmA,2021-02,791262,791262,37723,37723,15,3
UCKeAhJvy8zgXWbh9duVjIaQ,2021-02,123827,123827,5685,5685,1,0
UCvzGlP9oQwU--Y0r9id_jnA,2021-02,609824,609824,34531,34531,20,5
UCvInZx9h3jC2JzsIzoOebWg,2021-02,405032,405032,17299,17299,34,11
UCMwGHR0BTZuLsmjY_NT5Pwg,2021-02,512181,512181,41642,41642,77,2
UCNVEsYbiZjH5QLmGeSgTSzg,2021-02,401436,401436,11618,11618,2,0
UC727SQYUvx5pDDGQpTICNWg,2021-02,70669,70669,8385,8385,9,25
UCL_qhgtOy0dy1Agp8vkySQg,2021-02,505760,505760,45703,45703,10,2
UCwL7dgTxKo8Y4RFIKWaf8gA,2021-02,48820,48820,3600,3600,1,0
UCK9V2B22uJYu3N7eR_BT9QA,2021-02,197953,197953,17402,17402,5,2
UCGNI4MENvnsymYjKiZwv9eg,2021-02,43613,43613,1701,1701,2,0
UCdyqAaZDKHXg4Ahi7VENThQ,2021-02,467364,467364,23747,23747,50,13
UChSvpZYRPh0FvG4SJGSga3g,2021-02,112400,112400,6334,6334,1,0
UCoSrY_IQQVpmIRZ9Xf-y93g,2021-02,978172,978172,120789,120789,3188,5117
UCyl1z3jo3XHR1riLFKG5UAg,2021-02,767863,767863,61373,61373,701,569
UCl_gCybOJRIgOXw6Qb4qJzQ,2021-02,898758,898758,44120,44120,92,15
UCFKOVgVbGmX65RxO3EtH3iw,2021-02,452274,452274,19513,19513,11,2
UC5CwaMl1eIgY8h02uZw7u8A,2021-02,472961,472961,35627,35627,56,10
UCS9uQI-jC3DE0L4IpXyvr6w,2021-02,743774,743774,52645,52645,13745,18356
UCp6993wxpyDPHUpavwDFqgg,2021-02,134498,134498,11483,11483,5,0
UCDqI2jOz0weumE8s7paEk6g,2021-02,257955,257955,17346,17346,15,1
